Indicator,Domain,Role,Source_Name,Organization,Dataset_Name,URL,Access_Date,Frequency,Geographic_Coverage,Variable_Description,Unit,Transformation,Normalization,Processing_Pipeline,Quality_Score,Weight_Level,Aggregation_Method,Aggregation_Formula,Missing_Data_Strategy,Dataset_Version,Confidence_Level,Bias_Risk,Data_Type,Notes

PQC,Security,Core Dimension,NIST PQC Reports,National Institute of Standards and Technology (NIST),Post-Quantum Cryptography Standardization,https://csrc.nist.gov/projects/post-quantum-cryptography,2026-04-01,Annual,Global,Adoption and readiness of post-quantum cryptographic standards,Index (0-100),Scaled to [0,1],Divide by 100,"Raw → Imputation → Scaling → Normalization → Aggregation",0.95,Indicator-Level (0.6),Linear weighted aggregation (post-normalization),PQC = 0.6*NIST + 0.4*NCSI,Mean Imputation (domain-wise),2026.1,High,Low,Observational,Primary global authority for PQC

PQC,Security,Core Dimension,NCSI Index,e-Governance Academy,National Cyber Security Index,https://ncsi.ega.ee/,2026-04-01,Semi-Annual,Global,National cybersecurity preparedness score,Index (0-100),Scaled to [0,1],Divide by 100,"Raw → Imputation → Scaling → Normalization → Aggregation",0.92,Indicator-Level (0.4),Linear weighted aggregation (post-normalization),PQC = 0.6*NIST + 0.4*NCSI,Mean Imputation (domain-wise),2026.1,High,Medium,Composite,Complementary cybersecurity readiness proxy

AI,Technology,Core Dimension,OECD AI Policy Observatory,OECD,AI Policy Observatory Dataset,https://oecd.ai/,2026-04-01,Annual,Global,AI governance and national AI capability indicators,Composite Index,Scaled to [0,1],Min-Max normalization,"Raw → Temporal Imputation → Scaling → Normalization → Aggregation",0.96,Indicator-Level (0.55),Linear weighted aggregation (post-normalization),AI = 0.55*OECD + 0.45*Oxford,Mean Imputation (temporal),2026.1,High,Low,Composite,Highly trusted policy dataset

AI,Technology,Core Dimension,Government AI Readiness Index,Oxford Insights,Government AI Readiness Index,https://www.oxfordinsights.com/ai-readiness,2026-04-01,Annual,Global,Government AI readiness score,Index (0-100),Scaled to [0,1],Divide by 100,"Raw → Temporal Imputation → Scaling → Normalization → Aggregation",0.94,Indicator-Level (0.45),Linear weighted aggregation (post-normalization),AI = 0.55*OECD + 0.45*Oxford,Mean Imputation (temporal),2026.1,High,Medium,Composite,Widely used benchmark dataset

LEGAL,Governance,Core Dimension,Worldwide Governance Indicators,World Bank,Worldwide Governance Indicators,https://info.worldbank.org/governance/wgi/,2026-04-01,Annual,Global,Rule of law and governance effectiveness,-2.5 to +2.5,Shift + Scale,(Value + 2.5)/5,"Raw → Cross-country Imputation → Transformation → Normalization → Aggregation",0.97,Indicator-Level (0.6),Linear weighted aggregation (post-normalization),LEGAL = 0.6*WGI + 0.4*WJP,Mean Imputation (cross-country),2026.1,High,Low,Observational,Gold standard governance dataset

LEGAL,Governance,Core Dimension,Rule of Law Index,World Justice Project (WJP),Rule of Law Index,https://worldjusticeproject.org/,2026-04-01,Annual,Global,Rule of law adherence index,Index (0-1),No scaling,Direct use,"Raw → Cross-country Imputation → Validation → Normalization → Aggregation",0.95,Indicator-Level (0.4),Linear weighted aggregation (post-normalization),LEGAL = 0.6*WGI + 0.4*WJP,Mean Imputation (cross-country),2026.1,High,Low,Composite,Independent legal benchmarking

RES,Economy,Core Dimension,Financial Soundness Indicators,International Monetary Fund (IMF),Financial Soundness Indicators,https://data.imf.org/,2026-04-01,Quarterly,Global,Financial system stability metrics,Multiple Indicators,Aggregation,Composite normalization,"Raw → LOCF → Aggregation → Normalization",0.96,Indicator-Level (0.6),Linear weighted aggregation (post-normalization),RES = 0.6*IMF + 0.4*ND_GAIN,LOCF (time-series),2026.1,High,Medium,Composite,Macroeconomic resilience proxy

RES,Environment,Core Dimension,ND-GAIN Index,University of Notre Dame,ND-GAIN Index,https://gain.nd.edu/,2026-04-01,Annual,Global,Climate and economic resilience index,Index (0-100),Scaled to [0,1],Divide by 100,"Raw → LOCF → Scaling → Normalization → Aggregation",0.93,Indicator-Level (0.4),Linear weighted aggregation (post-normalization),RES = 0.6*IMF + 0.4*ND_GAIN,LOCF (time-series),2026.1,High,Medium,Composite,Climate-economic resilience

RISK,Adjustment Factor,Risk Modifier (R),Geopolitical Risk Index (GPR),"Baker, Bloom & Davis (Economic Policy Uncertainty Project)",Geopolitical Risk Index,https://www.policyuncertainty.com/,2026-04-01,Monthly,Global,Geopolitical instability measure,Index,Scaled inversion,1 - normalized value,"Raw → LOCF → Scaling → Inversion → Normalization",0.91,Indicator-Level (0.5),Linear weighted aggregation (post-normalization),R = 0.5*GPR + 0.5*DBIR,LOCF (high-frequency),2026.1,Medium,Medium,Observational,Global geopolitical instability proxy

RISK,Cybersecurity,Risk Modifier (R),Verizon Data Breach Investigations Report (DBIR),Verizon,Data Breach Investigations Report,https://www.verizon.com/business/resources/reports/dbir/,2026-04-01,Annual,Global,Frequency and severity of cyber incidents,Count/Severity Index,Log scaling + normalization,Min-Max scaling,"Raw → LOCF → Log Transform → Normalization",0.89,Indicator-Level (0.5),Linear weighted aggregation (post-normalization),R = 0.5*GPR + 0.5*DBIR,LOCF (high-frequency),2026.1,Medium,High,Observational,Empirical cyber risk proxy
